Metallica,Enter Sandman (Live with the SFSO),S&M (Live),90s,1999,yeah oh yeah let loose man   say your prayers little one don't forget my son to include everyone  i tuck you in warm within keep you free from sin 'til the sandman he comes  sleep with one eye open gripping your pillow tight  exit light what is it enter night take my hand we're off to nevernever land yeah yeah  something's wrong shut the light heavy thoughts tonight and they aren't of snow white dreams of war dreams of liars dreams of dragon's fire and of things that will bite yeah  sleep with one eye open gripping your pillow tight  exit light c'mon enter night take my hand we're off to nevernever land mootherfucker yeah oooh yeah    put your hands together  now i lay me down to sleep now i lay me down to sleep pray the lord my soul to keep pray the lord my soul to keep  if i die before i wake if i die before i wake pray the lord my soul to take pray the lord my soul to take hush little baby don't say a word and never mind that noise you heard it's just the beasts under your bed in your closet in your head  exit light come on enter night grain of sand yeah  exit light enter night take my hand ooo we're off to nevernever land  boo yeah yeah whoa yeah oohwhooooah  we're off to nevernever land take my hand we're off to nevernever land take my hand we're off to nevernever land oi  oi oi oi oi oi oi oi oi thank you very much friends that felt good man thanks for coming on down here man making us feel good ,0.078,0.69,0.232,0.9913
Metallica,The Thing That Should Not Be (Live with the SFSO),S&M (Live),90s,1999,messenger of fear in sight dark deception kills the light  hybrid children watch the sea pray for father roaming free   fearless wretch insanity he watches lurking beneath the sea great old one forbidden site he searches hunter of the shadows is rising ah immortal in madness you dwell ha ha   not dead which eternal lies stranger eons death may die  drain you of your sanity face the thing that should not be   fearless wretch insanity he watches lurking beneath the sea great old one forbidden site he searches hunter of the shadows is rising ha ha immortal in madness you dwell oh my god    in madness you dwell  laughs   fearless wretch insanity he watches lurking beneath the sea great old one forbidden site he searches hunter of the shadows is rising ha ha immortal in madness we dwell yeah  face the thing that should not be  thank you ,0.258,0.458,0.284,0.2575
Metallica,Flamingo (”All Nightmare Long” demo),Demo Magnetic,20s,9999,luck luck luck runs runs runs out out out  crawling from the wreckage one more time this map is teared can't read the signs boulevard is rusted hard to turn on the path of destruction feel it burn  pre feel safe in the danger feel good in the bad got the burning got the speed lose your turn you crash and burn you walk away   'cause it ain't no good when there's nothing ain't no good when you can't go wrong crash and burn and you walk away how many times can i hear you say ain't no good when there's nothing ain't no good when you can't go wrong luck runs out you crawl back in but your luck runs out  luck luck luck runs runs runs out out out  in love with my struggle and in love with my pain much needed to keep me down again don't allow myself to feel too good unworthy of me couldn't if i could  pre feel safe in the danger feel good in the bad got the burning got the speed lose your turn you crash and burn you walk away   'cause it ain't no good when there's nothing ain't no good when you can't go wrong crash and burn and you walk away how many times can i hear you say ain't no good when there's nothing ain't no good when you can't go wrong luck runs out you crawl back in but your luck runs out  so you crawl back in deep in your obsession sent to crash and burn this is your confession   'cause it ain't no good when there's nothing ain't no good when you can't go wrong crash and burn and you walk away how many times can i hear you say ain't no good when there's nothing ain't no good when you can't go wrong luck runs out you crawl back in but your luck runs out ,0.126,0.551,0.324,0.9979
Metallica,Only Thing (Demo),NONE,20s,9999,verse look my friends to the golden sign lonely folks giving me the eye sacrifice with the golden rod the virgin queen to the newfound god the offering to the deity the only thing that their minds will see   they see it right they see it well but they think he'll save them from their hell  verse look my friends to the golden sign lonely folks giving me the eye sacrifice with the golden rod the virgin queen to the newfound god offering to the deity the only thing that their minds will see   they see it right they see it well but they think he'll save them from their hell   ,0.125,0.679,0.196,0.7351
Metallica,Devil’s Dance (Live with the SFSO),S&M (Live),90s,1999,pre yeah i feel you too feel those things you do in your eyes i see a fire that burns to free the you that's wanting through deep inside you know seeds i plant will grow   one day you will see and dare to come down to me yes come on come on now take the chance that's right let's dance   snake i am the snake tempting that bite you take let me free your mind leave yourself behind be not afraid i've got what you need hunger i will feed   one day you will see and dare to come down to me yeah come on come on now take the chance that's right come dance come dancing     one day you will see and dare to come down to me yeah come on come on now take the chance that's right  pre hey i feel you too feel those things you do in your eyes i see a fire that burns to free the you that's running through yeah deep inside you know seeds i plant will grow   one day you will see and dare to come down to me yeah come on come on now take the chance that's right we'll dance  it's nice to see you here haha thank you thank you thank you ,0.034,0.777,0.19,0.986
Metallica,Wherever I May Roam (Live with the SFSO),S&M (Live),90s,1999,and the road becomes my bride and the road becomes my bride i have stripped of all but pride so in her i do confide and she keeps me satisfied gives me all i need and the dust in throat i crave only knowledge will i save to the game you stay a slave rover wanderer nomad vagabond call me what you will    but i'll take my time anywhere i'm free to speak my mind anywhere redefine anywhere anywhere i roam where i lay my head is home yeah   the earth become my throne and the earth become my throne i adapt to the unknown under wandering stars i have grown by myself but not alone i ask no one and my ties are severed clean baby the less i have the more i gain off the beaten path i reign rover wanderer nomad vagabond call me what you will   but i'll take my time anywhere i'm free to speak my mind anywhere i do my time anywhere anywhere i roam where i lay my head is home yeah    but i'll take my time anywhere hey i'm free to speak my mind i'll do my time anywhere anywhere i roam where i lay my head is home oh yeah    c'mon baby    but i'll take my time anywhere i'm free to speak my mind anywhere i redefine anywhere anywhere i roam where i lay my head is home carved upon my stone my body lies but still i roam yeah yeah  wherever i may roam ooh wherever i may roam yeah ooh wherever i may roam ooh yeah wherever i may wander wherever i may roam yeah  grunt ,0.035,0.752,0.213,0.9948
Metallica,Of Wolf and Man (Live With the SFSO),S&M (Live),90s,1999, rurhx   off through the new day's mist i run out from the new day's mist i have come i hunt therefore i am harvest the land taking of fallen lamb  off through the new day's mist i run out from the new day's mist i have come we shift pulsing with the earth company we keep roaming the land while you sleep   shapeshift nose to the wind shapeshift feeling i've been move swift all senses clean earth's gift back to the meaning back to the meaning of life  bright is the moon high in starlight chill is the air cold as steel tonight we shift call of the wild fear in your eyes it's later than you realized   shapeshift nose to the wind shapeshift feeling i've been move swift all senses clean baby earth's gift back to the meaning back to the meaning of life  rurhx  oooh     break got any wolves out there whooooo i feel a change back to a better day shapeshift hair stands on the back of my neck move swift in wildness is the preservation of the world so seek the wolf in thyself  shapeshift nose to the wind shapeshift feeling i've been move swift all senses clean earth's gift back to the meaning back to the meaning of wolf and man  oo yeah  wolf call ,0.024,0.821,0.155,0.9744
Metallica,One (Live with the SFSO),S&M (Live),90s,1999,i can't remember anything can't tell if this is true or dream deep down inside i feel to scream this terrible silence stops me now that the war is through with me i'm waking up i cannot see that there's not much left of me nothing is real but pain now    hold my breath as i wish for death oh please god wake me   back in the womb it's much too real in pumps life that i must feel but can't look forward to reveal look to the time when i live fed through the tube that sticks in me just like a wartime novelty tied to machines that make me be cut this shit off from me   hold my breath as i wish for death oh please god wake me please god wake me    now the world is gone i'm just one oh god help me    hold my breath as i wish for death oh please god help me help me    darkness imprisoning me all that i see absolute horror i cannot live i cannot die trapped in myself body my holding cell  landmine has taken my sight taken my speech taken my hearing taken my arms taken my legs taken my soul left me with life in hell   no no no no no no no oh please god help me       please god help me  ad lib hey hey hey hey hey hey  hey hey hey hey hey hey  thank you ,0.22,0.546,0.233,-0.1669
Metallica,Until It Sleeps (Live With the SFSO),S&M (Live),90s,1999,where do i take this pain of mine i run but it stays right by my side   so tear me open and pour me out there's things inside that scream and shout and the pain still hates me so hold me until it sleeps  just like the curse just like the stray you feed it once and now it stays now it stays  pre so tear me open but beware there's things inside without a care and the dirt still stains me so wash me until i'm clean   it grips you so hold me it stains you so hold me it hates you so hold me yeah it holds you so hold me until it sleeps until it sleeps until it sleeps until it sleeps  so tell me why you've chosen me don't want your grip don't want your greed i don't want it  pre so tear me open make it gone no longer will you hurt anyone and the hate still shakes me so hold me until it sleeps   it grips you so hold me it stains you so hold me  oo yeah it hates you so hold me it holds you holds you holds you until it sleeps until it sleeps until it sleeps until it sleeps  i don't want it no don't want it want it want it want it want it no so tear me open but beware there's things inside without a care and the dirt still stains me so wash me 'til i'm clean  i'll tear thee open make you gone no longer will you hurt anyone and the hate still shapes me so hold me until it sleeps  until it sleeps until it sleeps until it sleeps until it sh sh sh sh sh until it sleeps ,0.232,0.705,0.064,-0.9952
Metallica,Fuel (Live with the SFSO),S&M (Live),90s,1999,give me fuel give me fire give me that which i desire ooh   turn on i see red adrenaline crash crack my head nitro junkie paint me dead and i see red  one hundred plus through black and white ha ha war horse warhead fuck 'em man white knuckles tight through black and white    ohh on i burn fuel is pumping engines burning hard loose and clean    and i burn churning my direction quench my thirst with gasoline   so give me fuel give me fire give me that which i desire hey yeah   yeah turn on beyond the bone swallow future spit out home burn your face upon the chrome  yeah  take the corner join the crash headlights headlines another junkie lives too fast lives way too fast fast fast oohh oohh    ohh and i burn fuel is pumping engines burning hard loose and clean    oooh and i burn churning my direction quench my thirst with gasoline   so give me fuel give me fire give me that which i desire oooah yeah  hey hey hey hey feel it baby     burn motherfucker burn       ohh on i burn fuel is pumping engines burning hard loose and clean    oooh on i burn churning my direction quench my thirst with gasoline    give me fuel give me fire give me that which i desire yeah yeah burn yeah that felt pretty good ,0.157,0.667,0.176,0.4588
Metallica,The Call of Ktulu (Live with the SFSO),S&M (Live),90s,1999,directed by michael kamen ,0.0,1.0,0.0,0.0
Metallica,The Ecstasy of Gold / Enter Sandman (Live),Live Shit: Binge & Purge (Live in Mexico City),90s,1993,the ecstasy of gold   say your prayers little one don't forget my son to include everyone i fuck you in warm within keep you free from sin till the sandman he comes  pre sleep with one eye open gripping your pillow tight   exit light enter night take my hand we're off to nevernever land yeah   something's wrong shut the light heavy thoughts tonight and they aren't of snow white dreams of war dreams of liars dreams of dragons fire and of things that will bite yeah pre sleep with one eye open gripping your pillow tight   exit light enter night take my hand we're off to nevernever land thats right     my friends your hands are up like this man  interlude  recorded now i lay me down to sleep now i lay me down to sleep pray the lord my soul to keep pray the lord my soul to keep and if i die before i wake if i die before i wake pray the lord my soul to take pray the lord my soul to take  hush little baby don't say a word and never mind that noise you heard it's just the beast under your bed in your closet in your head   exit light enter night grain of sand exit light enter night take my hand we're off to nevernever land  interlude laughs come on people hey yeah oh oh yeah   we're off to nevernever land take my hand we're off to nevernever land take my hand we're off to nevernever land laughs ohh ,0.09,0.7,0.21,0.9833
Metallica,Black Squirrel (”Broken, Beat & Scarred” demo),Demo Magnetic,00s,2008,lars ulrich one two three   you rise you fall you crash then you're up again what dont kill ya' make ya' more strong you rise you fall you crash then you're up again what dont kill ya' make ya' more strong rise fall crash rise again what dont kill ya' make ya' more strong rise fall crash rise again what dont kill ya' make ya' more strong  pre yeah yeah yo yeah yeah yeah yeah yeah    let the scars tell the story pay your dues let the scars tell the story born to lose let the scars tell the story before i die let the scars tell the story the scars never lie  the crown the crawl the birth and the enditall dying's easy it's living that's hard the crown the crawl the birth and the enditall dying's easy it's living that's hard crown crawl birth end it all dying's easy it's living that's hard crown crawl birth end it all dying's easy it's living that's hard  pre yeah yeah yo yeah yeah yeah yeah yeah    let the scars tell the story pay your dues let the scars tell the story born to lose let the scars tell the story they exist let the scars tell the story cuz they tell it best   x let the scars tell the story pay your dues let the scars tell the story born to lose let the scars tell the story they exist let the scars tell the story cuz they tell it best  let the scars tell the story pay your dues let the scars tell the story born to lose let the scars tell the story they exist let the scars tell the story cuz they tell it best ,0.101,0.658,0.241,0.9952
Metallica,The Outlaw Torn (Live with the SFSO),S&M (Live),90s,1999,and now i wait my whole lifetime for you and now i wait my whole lifetime for you i ride the dirt i ride the tide for you i search the outside search inside for you to take back what you left me you know i'll always burn to be the one who seeks so i may find so now i wait my whole lifetime    i'm outlaw of torn i'm outlaw of torn i'm outlaw of torn and i'm torn   so on i wait my whole lifetime for you so on i wait my whole lifetime for you the more i search the more my need for you the more i bless the more i bleed for you you make me smash the clock and feel i'd rather die behind the wheel time was never on my side so on i wait my whole lifetime   i'm outlaw of torn i'm outlaw outlaw of torn and i'm torn   hear me and if i close my mind in fear please pry it open see me and if my face becomes sincere beware hold me and if i start to come undone stitch me together save me and if you see me strut remind me of what left this outlaw torn      hear me and if i close my mind in fear please pry it open see me and if my face becomes sincere beware hold me and if i start to come undone stitch me together save me and if you see me strut remind me of what left this outlaw torn   ,0.113,0.816,0.072,-0.8024
